trade_date,nav_b0,nav_b1,nav_bh,equity_b0,equity_b1,cash_b0,cash_b1,etf_val_b0,etf_val_b1
20230614,1.0451416658053139,1.0491382160628506,1.0517692390823723,2299311.6647716905,2308104.0753382714,1321882.8647716905,1538919.2753382714,977428.8,769184.8
20230615,1.047268659296808,1.0511855721588437,1.057754239515354,2303991.0504529774,2312608.258749456,1645482.6504529775,1539046.4587494563,658508.3999999999,773561.7999999999
20230616,1.0470185113006225,1.0525629932092953,1.0669312399483717,2303440.7248613695,2315638.5850604493,2270550.5248613693,1911062.3850604494,32890.2,404576.2
20230619,1.047091978414155,1.0524892921598719,1.0705222403814254,2303602.352511141,2315476.442751718,2303602.352511141,2315476.442751718,0.0,0.0
20230620,1.047126932653288,1.052550376880021,1.0717192408145146,2303679.2518372335,2315610.8291360466,2108944.2518372335,2217840.4291360467,194735.0,97770.4
20230621,1.045763765583967,1.0517567826061347,1.05057224124764,2300680.2842847276,2313864.9217334962,2143753.484284728,2218023.721733496,156926.8,95841.2
20230626,1.0455166528586086,1.0516399993325463,1.031819241680801,2300136.636288939,2313607.998531602,2300136.636288939,2313607.998531602,0.0,0.0
20230627,1.0456030591935557,1.0517269117291854,1.0417942421139978,2300326.7302258224,2313799.205804208,2300326.7302258224,2313799.205804208,0.0,0.0
20230628,1.045689472669522,1.0518138313086671,1.0401982425472303,2300516.8398729484,2313990.428879068,2300516.8398729484,2313990.428879068,0.0,0.0
20230629,1.0463807947333956,1.0522047409665838,1.0445872429804985,2302037.7484134706,2314850.4301264845,2043641.1484134707,2184997.6301264847,258396.59999999998,129852.79999999999
20230630,1.0505744187816475,1.0548801845534344,1.0609462434138028,2311263.721319624,2320736.4060175554,1762180.221319624,1978789.0060175555,549083.5,341947.39999999997
20230703,1.0504219928053569,1.0546037919541111,1.0585522438471429,2310928.3841717853,2320128.3422990446,2104524.9841717854,1978952.5422990446,206403.4,341175.8
20230704,1.0509254144801945,1.0553795873163312,1.0633402442805184,2312035.911856428,2321835.0920959287,2104698.911856428,1979116.0920959287,207337.0,342719.0
20230705,1.0506768843037377,1.0546287800552978,1.0553602447139303,2311489.145468223,2320183.316121655,2277104.145468223,2135297.816121655,34385.0,184885.5
20230706,1.0507145562495668,1.0544516053254227,1.0517692451473777,2311572.023749047,2319793.53171593,2311572.023749047,2319793.53171593,0.0,0.0
20230707,1.0506100071409779,1.0545387500861936,1.0473802455808607,2311342.0157101513,2319985.2501896257,2215529.5157101513,2319985.2501896257,95812.5,0.0
20230710,1.0507911475554346,1.0546259020490105,1.04777924601438,2311740.524621956,2320176.9845078234,2311740.524621956,2320176.9845078234,0.0,0.0
20230711,1.0517628288535568,1.0551571597532192,1.0561582464479347,2313878.223477825,2321345.751457082,2034884.4234778252,2181319.4514570823,278993.8,140026.3
20230712,1.0510858074081324,1.0543253753599606,1.0409962468815257,2312388.776297891,2319515.8257919136,2208028.776297891,2181499.7257919135,104360.0,138016.1
20230713,1.0522800738968507,1.0552907921611565,1.050971247315152,2315016.1625730717,2321639.742754544,1978654.3625730718,2082999.342754544,336361.8,238640.4
