trade_date,code,asset_type,side,target_shares,order_shares,reason
20260123,512100.SH,ETF,BUY,156800,66800,timing
20260126,512100.SH,ETF,BUY,307900,151100,timing
20260129,512100.SH,ETF,SELL,245800,62100,timing
20260130,512100.SH,ETF,BUY,323500,77700,timing
20260202,512100.SH,ETF,SELL,227400,96100,timing
20260203,512100.SH,ETF,SELL,0,227400,timing
20260205,512100.SH,ETF,BUY,99000,99000,timing
20260206,512100.SH,ETF,BUY,174500,75500,timing
20260209,512100.SH,ETF,SELL,0,174500,timing
20260210,512100.SH,ETF,BUY,51400,51400,timing
20260211,512100.SH,ETF,BUY,177300,125900,timing
20260212,512100.SH,ETF,BUY,234000,56700,timing
20260224,512100.SH,ETF,SELL,0,234000,timing
20260225,512100.SH,ETF,BUY,75200,75200,timing
20260226,512100.SH,ETF,BUY,126400,51200,timing
20260227,512100.SH,ETF,BUY,255400,129000,timing
20260302,512100.SH,ETF,BUY,355300,99900,timing
20260304,512100.SH,ETF,BUY,417000,61700,timing
20260305,512100.SH,ETF,SELL,262400,154600,timing
20260306,512100.SH,ETF,SELL,0,262400,timing
20260311,512100.SH,ETF,BUY,54800,54800,timing
20260312,512100.SH,ETF,BUY,93600,38800,timing
20260313,512100.SH,ETF,BUY,161200,67600,timing
20260316,512100.SH,ETF,SELL,91400,69800,timing
20260317,512100.SH,ETF,SELL,0,91400,timing
20260326,512100.SH,ETF,BUY,246900,246900,timing
20260327,512100.SH,ETF,BUY,377000,130100,timing
20260331,512100.SH,ETF,SELL,226100,150900,timing
20260401,512100.SH,ETF,SELL,186500,39600,timing
20260402,512100.SH,ETF,SELL,0,186500,timing
20260409,512100.SH,ETF,BUY,111200,111200,timing
20260410,512100.SH,ETF,BUY,231100,119900,timing
20260415,512100.SH,ETF,BUY,276500,45400,timing
20260420,512100.SH,ETF,BUY,323400,46900,timing
20260421,512100.SH,ETF,BUY,512900,189500,timing
20260423,512100.SH,ETF,SELL,388400,124500,timing
20260424,512100.SH,ETF,SELL,213500,174900,timing
20260427,512100.SH,ETF,SELL,0,213500,timing
20260506,512100.SH,ETF,BUY,63000,63000,timing
20260507,512100.SH,ETF,BUY,205600,142600,timing
20260508,512100.SH,ETF,BUY,350200,144600,timing
20260511,512100.SH,ETF,BUY,452800,102600,timing
20260512,512100.SH,ETF,BUY,493800,41000,timing
20260513,512100.SH,ETF,SELL,419000,74800,timing
20260515,512100.SH,ETF,SELL,320800,98200,timing
20260518,512100.SH,ETF,SELL,206700,114100,timing
20260519,512100.SH,ETF,SELL,0,206700,timing
20260520,512100.SH,ETF,BUY,92500,92500,timing
20260521,512100.SH,ETF,BUY,189100,96600,timing
20260522,512100.SH,ETF,SELL,134800,54300,timing
20260527,512100.SH,ETF,BUY,174400,39600,timing
20260528,512100.SH,ETF,SELL,0,174400,timing
20260617,512100.SH,ETF,BUY,134500,134500,timing
20260618,512100.SH,ETF,BUY,255400,120900,timing
20260625,512100.SH,ETF,SELL,215500,39900,timing
20260626,512100.SH,ETF,SELL,144700,70800,timing
20260629,512100.SH,ETF,SELL,0,144700,timing
20260702,512100.SH,ETF,BUY,87600,87600,timing
20260707,512100.SH,ETF,SELL,0,87600,timing
20260724,512100.SH,ETF,BUY,95200,95200,timing
20260727,512100.SH,ETF,SELL,0,95200,timing
20260728,512100.SH,ETF,BUY,183300,183300,timing
20260729,512100.SH,ETF,SELL,141100,42200,timing
20260730,512100.SH,ETF,BUY,237200,96100,timing
20260731,512100.SH,ETF,SELL,0,237200,timing
20260803,512100.SH,ETF,BUY,83700,83700,timing
20260805,512100.SH,ETF,BUY,329400,245700,timing
20260806,512100.SH,ETF,BUY,552700,223300,timing
