trade_date,nav,daily_ret,nav_long,nav_short,long_ret,short_ret
20250306,1.742230,-0.024911,1.372795,1.307389,0.020152,-0.045063
20250307,1.769046,0.015391,1.369173,1.330961,-0.002639,0.018030
20250310,1.775175,0.003465,1.371174,1.333627,0.001462,0.002003
20250311,1.774643,-0.000299,1.376871,1.327687,0.004154,-0.004454
20250312,1.770920,-0.002098,1.384088,1.317942,0.005242,-0.007340
20250313,1.815517,0.025183,1.375195,1.359600,-0.006425,0.031608
20250314,1.836629,0.011628,1.397519,1.353339,0.016233,-0.004605
20250317,1.838526,0.001033,1.406263,1.346270,0.006257,-0.005224
20250318,1.842956,0.002409,1.421338,1.335082,0.010719,-0.008310
20250319,1.864716,0.011807,1.421310,1.350871,-0.000019,0.011826
20250320,1.878391,0.007333,1.424931,1.357336,0.002547,0.004786
20250321,1.927963,0.026391,1.416704,1.400994,-0.005773,0.032164
20250324,1.960578,0.016917,1.399115,1.442088,-0.012415,0.029332
20250325,2.036842,0.038898,1.393053,1.504432,-0.004333,0.043231
20250326,2.019472,-0.008528,1.408620,1.474791,0.011175,-0.019702
20250327,2.038176,0.009262,1.399901,1.497579,-0.006190,0.015451
20250328,2.052581,0.007067,1.384553,1.524581,-0.010963,0.018031
20250331,2.008432,-0.021509,1.363651,1.514806,-0.015097,-0.006412
20250401,1.990545,-0.008906,1.368743,1.511425,0.003735,-0.002232
20250402,1.975079,-0.007770,1.368818,1.499600,0.000055,-0.007824
20250403,1.998040,0.011625,1.351150,1.536389,-0.012907,0.024533
20250407,2.021112,0.011548,1.177053,1.752096,-0.128851,0.140399
20250408,2.004773,-0.008084,1.181464,1.731366,0.003747,-0.011831
20250409,1.986195,-0.009267,1.212764,1.669453,0.026493,-0.035760
20250410,1.962368,-0.011997,1.241153,1.610345,0.023409,-0.035406
20250411,1.984355,0.011204,1.261417,1.602097,0.016327,-0.005122
20250414,1.983977,-0.000190,1.282702,1.574758,0.016874,-0.017064
20250415,1.985238,0.000635,1.286277,1.571369,0.002787,-0.002152
20250416,2.028272,0.021677,1.269135,1.626374,-0.013327,0.035004
20250417,2.058388,0.014848,1.279577,1.637142,0.008227,0.006621
20250418,2.054721,-0.001782,1.285601,1.626518,0.004708,-0.006490
20250421,2.009784,-0.021870,1.300256,1.572404,0.011399,-0.033270
20250422,2.073359,0.031633,1.305465,1.615844,0.004007,0.027627
20250423,2.032715,-0.019603,1.320237,1.565885,0.011315,-0.030918
20250424,2.083736,0.025100,1.316760,1.609313,-0.002634,0.027734
20250425,2.082099,-0.000786,1.315028,1.610165,-0.001315,0.000529
20250428,2.085593,0.001678,1.303441,1.627055,-0.008811,0.010490
20250429,2.082855,-0.001313,1.317518,1.607346,0.010800,-0.012113
20250430,2.059669,-0.011132,1.332398,1.571301,0.011294,-0.022425
20250506,1.991275,-0.033206,1.356567,1.506096,0.018140,-0.041497
20250507,1.980332,-0.005495,1.365881,1.487479,0.006866,-0.012361
20250508,2.005572,0.012745,1.380906,1.490075,0.011000,0.001745
20250509,2.060407,0.027341,1.371141,1.541352,-0.007071,0.034413
20250512,2.055780,-0.002246,1.381552,1.526187,0.007593,-0.009839
20250513,2.030389,-0.012351,1.380913,1.508043,-0.000462,-0.011889
20250514,1.996921,-0.016483,1.382070,1.481923,0.000837,-0.017321
20250515,2.020757,0.011936,1.380295,1.501514,-0.001284,0.013220
20250516,1.975216,-0.022536,1.383719,1.463951,0.002481,-0.025017
20250519,1.984105,0.004500,1.397270,1.456202,0.009793,-0.005293
20250520,1.966738,-0.008753,1.412009,1.428095,0.010549,-0.019302
20250521,1.960453,-0.003196,1.403217,1.432423,-0.006226,0.003031
20250522,1.954862,-0.002852,1.381758,1.450244,-0.015293,0.012441
20250523,1.933284,-0.011038,1.370733,1.445807,-0.007979,-0.003059
20250526,1.913726,-0.010117,1.378362,1.423134,0.005566,-0.015682
20250527,1.906608,-0.003720,1.387651,1.408250,0.006739,-0.010458
20250528,1.939234,0.017112,1.390595,1.429360,0.002122,0.014990
20250529,1.932579,-0.003432,1.406895,1.407701,0.011721,-0.015153
20250530,1.950595,0.009322,1.393081,1.434645,-0.009818,0.019141
20250603,1.877777,-0.037331,1.397145,1.389611,0.002917,-0.031391
20250604,1.877305,-0.000251,1.407922,1.378543,0.007714,-0.007965
20250605,1.901332,0.012799,1.405526,1.398532,-0.001702,0.014500
20250606,1.904461,0.001646,1.409776,1.396605,0.003024,-0.001378
20250609,1.839716,-0.033997,1.423171,1.335855,0.009501,-0.043498
20250610,1.827058,-0.006880,1.412716,1.336478,-0.007346,0.000466
20250611,1.854599,0.015074,1.425454,1.344574,0.009016,0.006058
20250612,1.847749,-0.003694,1.423083,1.341843,-0.001663,-0.002031
20250613,1.843620,-0.002234,1.399469,1.361111,-0.016594,0.014359
20250616,1.833159,-0.005675,1.407905,1.345182,0.006028,-0.011703
20250617,1.850553,0.009489,1.408967,1.356932,0.000754,0.008735
20250618,1.847039,-0.001899,1.404101,1.359042,-0.003453,0.001555
